Fechas,Valores
2010-01-31,0.25746981323742
2010-02-28,1.39385659070027
2010-03-31,1.78584943564086
2010-04-30,2.37763432279891
2010-05-31,1.41701311386408
2010-06-30,2.35639080366374
2010-07-31,2.16171293581846
2010-08-31,0.307079493309343
2010-09-30,0.105119478170048
2010-10-31,1.10163933622494
2010-11-30,2.55727940164517
2010-12-31,1.54864808452148
2011-01-31,1.40926189715367
2011-02-28,1.17127060288834
2011-03-31,1.54420480973153
2011-04-30,2.48521099983474
2011-05-31,1.7910973565506
2011-06-30,1.49307511468189
2011-07-31,1.29468307670431
2011-08-31,0.605665528788371
2011-09-30,0.916097655632045
2011-10-31,2.05932555530394
2011-11-30,2.09145460518295
2011-12-31,2.19082036218961
2012-01-31,-0.161997174286145
2012-02-28,0.605661049609781
2012-03-31,1.17823502207506
2012-04-30,0.99497938326293
2012-05-31,1.74765807530448
2012-06-30,1.80689845622907
2012-07-31,1.50150678027421
2012-08-31,1.39457799245069
2012-09-30,0.916095873087347
2012-10-31,0.549389637953102
2012-11-30,1.45383941304568
2012-12-31,1.91534004209177
2013-01-31,-0.0970030917645846
2013-02-28,0.920835890552331
2013-03-31,2.07739485272696
2013-04-30,1.8930484740511
2013-05-31,1.72902287119422
2013-06-30,2.65001704219367
2013-07-31,2.44774053046893
2013-08-31,2.79241427477707
2013-09-30,2.69696380107628
2013-10-31,1.93982060994615
2013-11-30,3.05083302389138
2013-12-31,1.09240132895175
2014-01-31,0.894217362562155
2014-02-28,2.24003005088926
2014-03-31,2.25076508488724
2014-04-30,1.07478777031076
2014-05-31,1.19482226162477
2014-06-30,0.667629950176558
2014-07-31,0.464727738070844
2014-08-31,1.2149746070298
2014-09-30,1.76186190941855
2014-10-31,2.1491211919593
2014-11-30,2.29957646658244
2014-12-31,2.12225681607016
2015-01-31,0.39868519347525
2015-02-28,1.63410142149052
2015-03-31,6.6120479568654
2015-04-30,3.91186765650757
2015-05-31,2.65904355104364
2015-06-30,2.43327669167916
2015-07-31,2.14116936368502
2015-08-31,3.40411373966207
2015-09-30,2.92001849513314
2015-10-31,1.65937305287582
2015-11-30,2.53887149949718
2015-12-31,0.565011200605175
2016-01-31,1.29242726191357
2016-02-28,0.711317455177682
2016-03-31,0.592161602297884
2016-04-30,1.22706367825173
2016-05-31,-0.642680786192456
2016-06-30,0.406224421201346
2016-07-31,0.754891042715257
2016-08-31,-0.386323804651948
2016-09-30,0.124475375332903
2016-10-31,0.354411673962854
2016-11-30,1.45469997480156
2016-12-31,-0.0144067159451135
2017-01-31,-0.696204106652313
2017-02-28,0.0968540482521211
2017-03-31,-0.294417098056347
2017-04-30,0.145063842946178
2017-05-31,0.0501165953664321
2017-06-30,0.0922095388837865
2017-07-31,0.342350667273625
2017-08-31,0.551132533566676
2017-09-30,0.448109448810171
2017-10-31,0.520374107664124
2017-11-30,1.03844252893073
2017-12-31,0.455838907589012
2018-01-31,0.0341930280168035
2018-02-28,0.733893447860725
2018-03-31,1.04388629500159
2018-04-30,1.27878727148112
2018-05-31,0.811178195718075
2018-06-30,0.721409929644785
2018-07-31,0.701037664102647
2018-08-31,0.858941443631758
2018-09-30,1.03335132827649
2018-10-31,1.52234363524362
2018-11-30,0.839588590351523
2018-12-31,1.52072720365124
2019-01-31,0.270125549670801
2019-02-28,0.120867522471662
2019-03-31,0.781260371002509
2019-04-30,0.550333235200824
2019-05-31,0.82965171355996
2019-06-30,0.924485258631318
2019-07-31,0.646240720356549
2019-08-31,1.00848213459467
2019-09-30,0.778802887007716
2019-10-31,1.79836895200113
2019-11-30,0.795267319297379
2019-12-31,0.759121489686526
2020-01-31,-0.250764409432303
2020-02-28,1.08022790424944
2020-03-31,1.32741797111394
2020-04-30,1.25423519713414
2020-05-31,10.8028896305398
2020-06-30,1.56390889046244
2020-07-31,2.46977162979075
2020-08-31,2.40570490221914
2020-09-30,0.732282400406707
2020-10-31,-0.213967243283537
2020-11-30,0.778026375540195
2020-12-31,-0.640085321856918
2021-01-31,-2.7750343017748
2021-02-28,1.80461102001631
2021-03-31,1.11128905633433
2021-04-30,0.778307761469209
2021-05-31,0.683346317547484
2021-06-30,0.40060164703458
2021-07-31,1.0678685222038
2021-08-31,0.32123255663172
2021-09-30,1.06646017609694
2021-10-31,0.652872040520667
2021-11-30,0.797208982763581
2021-12-31,-0.0705337267539411
